column	7_2009
testVal	6078
testVal	156
testVal	373
testVal	3848
testVal	101379
testVal	173
testVal	6736
testVal	329
testVal	437
testVal	3332
testVal	2779
testVal	411
testVal	13997
testVal	8817
testVal	232915
testVal	3076
testVal	1443
testVal	886
testVal	729
testVal	403
testVal	293
testVal	204
testVal	20916
testVal	2650
testVal	241
testVal	6161
testVal	19296
testVal	300
testVal	5311
testVal	3765
testVal	1941
testVal	69528
testVal	1001
testVal	284
testVal	259
testVal	119
testVal	6453
testVal	3916
testVal	1784
testVal	76
testVal	6559
testVal	3868
testVal	277
testVal	29140
testVal	25758
testVal	1784
testVal	1251
testVal	256
testVal	5334
testVal	1159
testVal	235
testVal	199
testVal	2185
testVal	689
testVal	3907
testVal	28
testVal	9002
testVal	37
testVal	1141
testVal	683
testVal	6337
testVal	74
testVal	625
testVal	171
testVal	172
testVal	360
testVal	663
testVal	990
testVal	228
testVal	64291
testVal	945
testVal	21337
testVal	60
testVal	1579
testVal	3119
testVal	5447
testVal	4610
testVal	457
testVal	685
testVal	827
testVal	1182
testVal	6831
testVal	6264
testVal	376
testVal	1015
testVal	3404
testVal	11443
testVal	34663
testVal	6205
testVal	305
testVal	20514
testVal	3442
testVal	8792
testVal	1875
testVal	3902
testVal	425
testVal	8803
testVal	118
testVal	1637
testVal	592
testVal	567
testVal	4136
testVal	6291
testVal	7756
testVal	1877
testVal	309
testVal	11997
testVal	215
testVal	8804
testVal	273
testVal	1378
testVal	79
testVal	1555
testVal	1782
testVal	23865
testVal	20675
testVal	1674
testVal	1531
testVal	6385
testVal	2495
testVal	100
testVal	11
testVal	9258
testVal	21951
testVal	76
testVal	7275
testVal	1345
testVal	22973
testVal	2872
testVal	3263
testVal	21469
testVal	956
testVal	7550
testVal	457
testVal	32785
testVal	131
testVal	636
testVal	3809
testVal	762
testVal	16504
testVal	429
testVal	1782
testVal	238
testVal	115
testVal	1398
testVal	74
testVal	8740
testVal	622
testVal	3775
testVal	3817
testVal	231
testVal	280
testVal	2305
testVal	6045
testVal	4553
testVal	7750
testVal	3200
testVal	886
testVal	20864
testVal	3798
testVal	1171
testVal	11584
testVal	7608
testVal	5348
testVal	366
testVal	193
testVal	2450
testVal	401
testVal	2569
testVal	164
testVal	381
testVal	1040
testVal	1202
testVal	6178
testVal	2470
testVal	10255
testVal	263
testVal	1097
testVal	7390
testVal	234
testVal	34132
testVal	1417
testVal	824
testVal	1496
testVal	2890
testVal	187
testVal	20401
testVal	71106
testVal	10823
testVal	1231
testVal	138
testVal	958
testVal	10578
testVal	15280
testVal	3249
testVal	1582
testVal	366
testVal	2369
testVal	1033
testVal	269
testVal	448
testVal	431
testVal	27087
testVal	4320
testVal	13554
testVal	1503
testVal	8707
testVal	33858
testVal	2716
testVal	3493
